
13|S1ABDA01ND|Wilayah Medan|SWALAYAN HIJRAH|100|ATM TUNAI|ITC/GROSIR/SWALAYAN/PS. TRADISIONAL|5.540069,95.315633|Jl. Nyak Adam Kamil Neusu Kec. Baiturrahman, Banda Aceh, Nanggroe Aceh Darussalam|Kel. Neusu |Baiturrahman|Kota Banda Aceh|Nanggroe Aceh Darussalam|23243
14|S1ABDA01NE|Wilayah Medan|KLN TEUKU UMAR 1|100|ATM TUNAI|PERTOKOAN|5.537319,95.307420|Jl. Teuku Umar No. 8/9 Kel. Setui, Kec. Baiturrahman, Banda Aceh, Nanggroe Aceh Darussalam|Kel. Seutui|Baiturrahman|Kota Banda Aceh|Nanggroe Aceh Darussalam|23243
15|S1ABDA08AB|Wilayah Medan|KC BANDA ACEH 3|100|ATM TUNAI|INSTANSI/KANTOR|5.556068,95.314656|Jl.K.H Ahmad Dahlan No :111 Kel. Merduati, Kec. Baiturrahman, Banda Aceh, Nanggroe Aceh Darussalam|Kel. Merduati|Baiturrahman|Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
16|S1ABDA08AC|Wilayah Medan|KLN UNSYIAH 2|100|ATM TUNAI|PENDIDIKAN|5.568353,95.369831|Komplek Universitas Syah Kuala Darussalama, Jl. Syech Abd. Rauf, Kel. Kopelma Darussalam, Kec. Syah Kuala, Banda Aceh, Nanggroe Aceh Darussalam|Kel. Kopelma Darussalam|Syah Kuala|Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
17|S1ABDA08RR|Wilayah Medan|KLN TEUKU UMAR 2|100|ATM TUNAI|PERTOKOAN|5.537319,95.307420|Jl. Teuku Umar No. 297 Kel. Setui, Kec. Baiturrahman, Banda Aceh, Nanggroe Aceh Darussalam|Kel. Setui|Baiturrahman|Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
18|S1ABDA09ZW|Wilayah Medan|SPBU KP MULIA|100|ATM TUNAI|SPBU/REST AREA|5.516614,95.303700|JL Mata Ie Aceh Besar|Kel. Kampung Mulia |Kampung Mulia Banda Aceh|Kab. Aceh Besar|Nanggroe Aceh Darussalam|23123
19|S1ABDA09ZX|Wilayah Medan|RSU DZA|100|ATM TUNAI|KESEHATAN|5.563974,95.337223|RSUDZA Jl. Tgk. Daud Beureueh Kel. Laksana, Kec. Kuta Alam, Banda Aceh, Nanggroe Aceh Darussalam|Kel. Laksana|Kuta Alam|Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
20|S1ABDA09ZY|Wilayah Medan|KLN LUENGBATA 2|100|ATM TUNAI|PERTOKOAN|5.539781,95.335119|Jl. T. Imum Luengbata Banda Aceh, Kel. Lueng Bata, Kec. Lueng Bata, Banda Aceh, Nanggroe Aceh Darussalam|Kel. Lueng Bata|Lueng Bata|Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
21|S1ABDA09ZZ|Wilayah Medan|SYARIAH BANDA ACEH|100|ATM TUNAI|INSTANSI/KANTOR|5.556948,95.326151|BNI Syariah Jl. Tgk. Daud Beureueh No. 33, Kel. Keuramat, Kec. Kuta Alama, Banda Aceh, Nanggroe Aceh Darussalam|Kel. Laksana|Kuta Alam|Kota Banda Aceh|Nanggroe Aceh Darussalam|23122
22|S1ABDA11PW|Wilayah Medan|KLN UNSYIAH 3|100|ATM TUNAI|PENDIDIKAN|5.568353,95.369831|Komplek Universitas Syah Kuala Darussalama, Jl. Syech Abd. Rauf|Kel. Kopelma Darussalam|Syah Kuala|Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
23|S1ABDA11PX|Wilayah Medan|SWALAYAN PP ULE KARENG|50|ATM TUNAI|ITC/GROSIR/SWALAYAN/PS. TRADISIONAL|5.549971,95.345110|Swalayan Pante Perak Jl. T. Iskandar Ulee Kareng|Kel. Beurawe|Kuta Alam|Kota Banda Aceh|Nanggroe Aceh Darussalam|23124
24|S1ABDA11RS|Wilayah Medan|JL. POCUT BAREN|50|ATM TUNAI|ITC/GROSIR/SWALAYAN/PS. TRADISIONAL|5.565978,95.347516|Jl. Pocut Baren Peunayong - Banda Aceh|Kel. Laksana|Kuta Alam|Kota Banda Aceh|Nanggroe Aceh Darussalam|23122
25|S1ABDA11X8|Wilayah Medan|SUPERMARKET GRAND ACEH|100|ATM TUNAI|ITC/GROSIR/SWALAYAN/PS. TRADISIONAL|5.547562,95.329806|Grand Aceh Pasaraya Dr. Mr. T. Muhammad Hasan Batoh No. 88 |||Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
26|S1ABDA11ZD|Wilayah Medan|JL.T.NYAK ARIF|100|ATM TUNAI|ITC/GROSIR/SWALAYAN/PS. TRADISIONAL|5.575544,95.347164|Jl. T. Nyak Arief Jeulingke, Banda Aceh|Desa Jeulingke|Syiah Kuala|Kota Banda Aceh|Nanggroe Aceh Darussalam|23114
27|S1ABDA12AA|Wilayah Medan|UNIV. ABULYATAMA|50|ATM TUNAI|PENDIDIKAN|5.530972,95.387801|Universitas Abulyatama Jl. Blang Bintang Lama Km 8,5 Lampoh Keude|||Kab. Aceh Besar|Nanggroe Aceh Darussalam|23372
28|S1ABDA12BB|Wilayah Medan|ACEH AUTOMATIC CARWASH|50|ATM TUNAI|PERTOKOAN|5.522576,95.363998|Jl. Medan-Banda Aceh KM 7 Gampong Pante Kec Ingin Jaya Lambaro |Gampong Pante |Ingin Jaya |Kab. Aceh Besar|Nanggroe Aceh Darussalam|#N/A
29|S1ABDA12FF|Wilayah Medan|SPBU ULE LHEU|100|ATM TUNAI|SPBU/REST AREA|5.554487,95.288689|SPBU No. 14.232.448 Jl. Sultan Iskandar Muda |||Kab. Aceh Besar|Nanggroe Aceh Darussalam|#N/A
30|S1ABDA12HH|Wilayah Medan|DRIVE THRU BANDA ACEH|100|ATM TUNAI DT|PARIWISATA|5.551225,95.319669|Taman Kota Tugu Adipura Jl. Moh Jam, Banda Aceh, Nanggroe Aceh Darussalam |Kel. Merduati|Baiturrahman|Kota Banda Aceh|Nanggroe Aceh Darussalam|23242
31|S1ABDA12II|Wilayah Medan|KLN UNSYIAH 4|50|ATM TUNAI|PENDIDIKAN|5.568353,95.369831|Komplek Universitas Syiah Kuala Darussaalam Jl. Syech abd.|Kel. Kopelma Darussalam|Syah Kuala|Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
32|S1ABDA12JJ|Wilayah Medan|KANTOR WALIKOTA ACEH|100|ATM TUNAI|INSTANSI/KANTOR|5.550166,95.317885|Jl. Tengku Abu Lam U No. 10|Kel. Kota Baru|Kuta Alam|Kota Banda Aceh|Nanggroe Aceh Darussalam|23125
33|S1ABDA12LL|Wilayah Medan|GALLERY PASAR ATJEH 1|100|ATM TUNAI|PERTOKOAN|5.555280,95.316342|Jl. Diponegoro Lorong Linggar Waru No 6 Banda Aceh |||Kota Banda Aceh|Nanggroe Aceh Darussalam|#N/A
