
36|KUALANAMU|3.638825, 98.877947|BANKING AREA LANTAI 1 BANDARA KUALANAMU, KAB. DELI SERDANG|20732|KAB. DELI SERDANG|Kec. Beringin|Ds. Kualanamu||Luar Jabodetabek|SUMATERA UTARA|SUMATERA|(061)88880526|
74|PASAR SETIA BUDI|3.570945, 98.642812|JL. SETIABUDI,KEL. TANJUNGREJO,KEC. MEDAN SUNGGAL-MEDAN|20132|KOTA MEDAN|Kec. Medan Selayang|Kel. Tanjung Sari|IBUKOTA PROPINSI|Luar Jabodetabek|SUMATERA UTARA|SUMATERA|(061)8217685|
102|PANDAN|1.603237, 98.858047|JL. LINTAS PADANG SIDEMPUAN – SIBOLGA NO. 51-52 KECAMATAN PANDAN, KABUPATEN TAPANULI TENGAH |22611|KAB. TAPANULI TENGAH|Kec. Sibolga|Ds. Pandan||Luar Jabodetabek|SUMATERA UTARA|SUMATERA|(0631)371446|(0631)371046
114|UPPTSP PEMKAB SERDANG BEDAGAI|3.491807, 99.126268|GEDUNG KANTOR PEMKAB SERDANG BEDAGAI|20995|KAB. SERDANG BEDAGAI|Kec. Sungai Rampah|||Luar Jabodetabek|SUMATERA UTARA|SUMATERA||
128|DISKI|3.638825, 98.877947|JL. MEDAN - BINJAI KM 12,5, KEL. PUJI MULYO, KEC. SUNGGAL, KAB. DELI SERDANG|20351|KAB. DELI SERDANG|Kec. Sunggal|Kel Puji Mulyo||Luar Jabodetabek|SUMATERA UTARA|SUMATERA|(061) 8441733|
132|WILAYAH 02 - PADANG|-0.954676,100.359629|JL. DOBI NO. 1 LT. 3 PADANG. |25138|KOTA PADANG|#REF!|#N/A|IBUKOTA PROPINSI|Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0751) 890005, 890008|(0751) 890010, 890011
133|BUKITTINGGI|-0.306187,100.37008|JL. PERINTIS KEMERDEKAAN NO. 15 - BUKITTINGGI|26111|KOTA BUKITTINGGI|Kec. Guguk Panjang|Kel. Aurtajungkang/Tengah Sawah||Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0752) 35494, 21565, 22578|(0752) 31695
134|PADANG PANJANG|-0.461224,100.400284|JL. SOEKARNO HATTA NO. 12 - 14. |27115|KOTA PADANG PANJANG|#REF!|Kel. Bukit Surungan||Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0752) 83746|(0752) 83746
135|AUR KUNING|-0.311571,100.385591|JL. PARAK KUBANG I NO. 76 TAROK DIPO KEC. GUGUK PANJANG KOTA BUKITTINGI|26131|KOTA BUKITTINGGI|Kec. Aur Birugo/Tigobaleh|Kel. Aur Kuning||Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0752) 642946|(0752) 642946
137|PASAR ATAS|-0.30329, 100.3696|JL. MINANGKABAU NO. 71 BUKITTINGGI|26113|KOTA BUKITTINGGI|Kec. Guguk Panjang|Kel. Benteng Pasar Atas||Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0752)626565|
138|PADANG LUAR|-0.344869, 100.383958|JL. RAYA BUKITTINGGI - PADANG KM. 4 PASAR PADANG LUAR KAB. AGAM|26181|KAB. AGAM|Kec. Banuhampu Sei Puar|||Luar Jabodetabek|SUMATERA BARAT|SUMATERA|(0752)7839250|(0752)7839251
